profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Object,Production place role,Object Production Information,"",string,n,n,y,"","","",collectionobject,objectProductionPlaceRole
bonsai_6-0-0,Object,Production reason,Object Production Information,"",string,n,y,n,"","","",collectionobject,objectProductionReason
bonsai_6-0-0,Object,Production person,Object Production Information,"",string,n,n,y,authority,person/local,"",collectionobject,objectProductionPerson
bonsai_6-0-0,Object,Production person role,Object Production Information,"",string,n,n,y,"","","",collectionobject,objectProductionPersonRole
bonsai_6-0-0,Object,Production organization,Object Production Information,"",string,n,n,y,authority,organization/local,"",collectionobject,objectProductionOrganization
bonsai_6-0-0,Object,Production organization role,Object Production Information,"",string,n,n,y,"","","",collectionobject,objectProductionOrganizationRole
bonsai_6-0-0,Object,Production note,Object Production Information,"",string,n,n,n/a,"","","",collectionobject,objectProductionNote
bonsai_6-0-0,Object,Associated activity,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocActivity
bonsai_6-0-0,Object,Associated activity type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocActivityType
bonsai_6-0-0,Object,Associated activity note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocActivityNote
bonsai_6-0-0,Object,Associated object,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocObject
bonsai_6-0-0,Object,Associated object type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocObjectType
bonsai_6-0-0,Object,Associated object note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocObjectNote
bonsai_6-0-0,Object,Associated concept,Object History and Association Information,Associations,string,n,n,y,authority,concept/associated,"",collectionobject,assocConcept
bonsai_6-0-0,Object,Associated concept type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocConceptType
bonsai_6-0-0,Object,Associated concept note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocConceptNote
