profile,id_caps,id_lower,label
core_9_0,collectionobject.inscriptionDescription,collectionobject.inscriptiondescription,Object Description Information > Non-Textual Inscription > Non-textual inscription description
core_9_0,collectionobject.inscriptionDescriptionInscriber,collectionobject.inscriptiondescriptioninscriber,Object Description Information > Non-Textual Inscription > Non-textual inscription inscriber
core_9_0,collectionobject.inscriptionDescriptionDateGroup,collectionobject.inscriptiondescriptiondategroup,Object Description Information > Non-Textual Inscription > Non-textual inscription date
core_9_0,collectionobject.inscriptionDescriptionPosition,collectionobject.inscriptiondescriptionposition,Object Description Information > Non-Textual Inscription > Non-textual inscription position
core_9_0,collectionobject.inscriptionDescriptionType,collectionobject.inscriptiondescriptiontype,Object Description Information > Non-Textual Inscription > Non-textual inscription type
core_9_0,collectionobject.inscriptionDescriptionMethod,collectionobject.inscriptiondescriptionmethod,Object Description Information > Non-Textual Inscription > Non-textual inscription method
core_9_0,collectionobject.inscriptionDescriptionInterpretation,collectionobject.inscriptiondescriptioninterpretation,Object Description Information > Non-Textual Inscription > Non-textual inscription interpretation
core_9_0,collectionobject.objectProductionDateGroup,collectionobject.objectproductiondategroup,Object Production Information > Production date
core_9_0,collectionobject.objectProductionEra,collectionobject.objectproductionera,Object Production Information > Production era
core_9_0,collectionobject.technique,collectionobject.technique,Object Production Information > Production technique
core_9_0,collectionobject.techniqueType,collectionobject.techniquetype,Object Production Information > Production technique type
core_9_0,collectionobject.objectProductionPlace,collectionobject.objectproductionplace,Object Production Information > Production place
core_9_0,collectionobject.objectProductionPlaceRole,collectionobject.objectproductionplacerole,Object Production Information > Production place role
core_9_0,collectionobject.objectProductionReason,collectionobject.objectproductionreason,Object Production Information > Production reason
core_9_0,collectionobject.objectProductionPeople,collectionobject.objectproductionpeople,Object Production Information > Production people
core_9_0,collectionobject.objectProductionPeopleRole,collectionobject.objectproductionpeoplerole,Object Production Information > Production people role
core_9_0,collectionobject.objectProductionPerson,collectionobject.objectproductionperson,Object Production Information > Production person
core_9_0,collectionobject.objectProductionPersonRole,collectionobject.objectproductionpersonrole,Object Production Information > Production person role
core_9_0,collectionobject.objectProductionOrganization,collectionobject.objectproductionorganization,Object Production Information > Production organization
core_9_0,collectionobject.objectProductionOrganizationRole,collectionobject.objectproductionorganizationrole,Object Production Information > Production organization role
core_9_0,collectionobject.objectProductionAgent,collectionobject.objectproductionagent,Object Production Information > Production agent (verbatim)
core_9_0,collectionobject.objectProductionNote,collectionobject.objectproductionnote,Object Production Information > Production note
core_9_0,collectionobject.assocActivity,collectionobject.assocactivity,Object History and Association Information > Associations > Associated activity
core_9_0,collectionobject.assocActivityType,collectionobject.assocactivitytype,Object History and Association Information > Associations > Associated activity type
core_9_0,collectionobject.assocActivityNote,collectionobject.assocactivitynote,Object History and Association Information > Associations > Associated activity note
core_9_0,collectionobject.assocObject,collectionobject.assocobject,Object History and Association Information > Associations > Associated object
core_9_0,collectionobject.assocObjectType,collectionobject.assocobjecttype,Object History and Association Information > Associations > Associated object type
core_9_0,collectionobject.assocObjectNote,collectionobject.assocobjectnote,Object History and Association Information > Associations > Associated object note
core_9_0,collectionobject.assocConcept,collectionobject.assocconcept,Object History and Association Information > Associations > Associated concept
core_9_0,collectionobject.assocConceptType,collectionobject.assocconcepttype,Object History and Association Information > Associations > Associated concept type
core_9_0,collectionobject.assocConceptNote,collectionobject.assocconceptnote,Object History and Association Information > Associations > Associated concept note
core_9_0,collectionobject.assocCulturalContext,collectionobject.assocculturalcontext,Object History and Association Information > Associations > Associated cultural affinity
core_9_0,collectionobject.assocCulturalContextType,collectionobject.assocculturalcontexttype,Object History and Association Information > Associations > Associated cultural affinity type
core_9_0,collectionobject.assocCulturalContextNote,collectionobject.assocculturalcontextnote,Object History and Association Information > Associations > Associated cultural affinity note
