profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
core_9-0-0,Object,Responsible department,Object Identification Information,"",string,n,y,n,option list,departments,"antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings",collectionobject,responsibleDepartment
core_9-0-0,Object,Collection,Object Identification Information,"",string,n,n,n/a,option list,collections,"library-collection, permanent-collection, study-collection, teaching-collection",collectionobject,collection
core_9-0-0,Object,Named collection,Object Identification Information,"",string,n,y,n,authority,work/local,"",collectionobject,namedCollection
core_9-0-0,Object,Description level,Object Identification Information,"",string,n,n,n/a,vocabulary,descriptionlevel,"",collectionobject,descriptionLevel
core_9-0-0,Object,Record status,Object Identification Information,"",string,n,n,n/a,option list,recordStatuses,"approved, in-process, new, temporary",collectionobject,recordStatus
core_9-0-0,Object,Publish to,Object Identification Information,"",string,n,y,n,vocabulary,publishto,"",collectionobject,publishTo
core_9-0-0,Object,Inventory status,Object Identification Information,"",string,n,y,n,vocabulary,inventorystatus,"",collectionobject,inventoryStatus
core_9-0-0,Object,Brief description,Object Identification Information,"",string,n,y,n,"","","",collectionobject,briefDescription
core_9-0-0,Object,Distinguishing features,Object Identification Information,"",string,n,n,n/a,"","","",collectionobject,distinguishingFeatures
core_9-0-0,Object,Comment,Object Identification Information,"",string,n,y,n,"","","",collectionobject,comment
core_9-0-0,Object,Computed current location,Object Identification Information,"",string,n,n,n/a,authority,location/local; location/offsite; organization/local,"",collectionobject,computedCurrentLocation
core_9-0-0,Object,Annotation type,Object Identification Information,"",string,n,n,y,vocabulary,annotationtype,"",collectionobject,annotationType
core_9-0-0,Object,Annotation date,Object Identification Information,"",date,n,n,y,"","","",collectionobject,annotationDate
core_9-0-0,Object,Annotation author,Object Identification Information,"",string,n,n,y,authority,person/local,"",collectionobject,annotationAuthor
core_9-0-0,Object,Annotation note,Object Identification Information,"",string,n,n,y,"","","",collectionobject,annotationNote
core_9-0-0,Object,Title,Object Identification Information,"",string,n,n,y,"","","",collectionobject,title
core_9-0-0,Object,Title language,Object Identification Information,"",string,n,n,y,vocabulary,languages,"",collectionobject,titleLanguage
core_9-0-0,Object,Title type,Object Identification Information,"",string,n,n,y,option list,titleTypes,"assigned-by-artist, collection, generic, popular, series, trade",collectionobject,titleType
core_9-0-0,Object,Title translation,Object Identification Information,"",string,n,n,y,"","","",collectionobject,titleTranslation
core_9-0-0,Object,Title translation language,Object Identification Information,"",string,n,n,y,vocabulary,languages,"",collectionobject,titleTranslationLanguage
core_9-0-0,Object,Object name controlled,Object Identification Information,"",string,n,n,y,authority,concept/nomenclature,"",collectionobject,objectNameControlled
core_9-0-0,Object,Object name,Object Identification Information,"",string,n,n,y,"","","",collectionobject,objectName
core_9-0-0,Object,Object name currency,Object Identification Information,"",string,n,n,y,option list,nameCurrencies,"archaic, current",collectionobject,objectNameCurrency
core_9-0-0,Object,Object name level,Object Identification Information,"",string,n,n,y,option list,nameLevels,"group, subgroup",collectionobject,objectNameLevel
core_9-0-0,Object,Object name system,Object Identification Information,"",string,n,n,y,option list,nameSystems,"art-and-architecture-thesaurus, nomenclature",collectionobject,objectNameSystem
core_9-0-0,Object,Object name type,Object Identification Information,"",string,n,n,y,option list,nameTypes,"classified, denomination, simple, taxonomic, typological",collectionobject,objectNameType
core_9-0-0,Object,Object name language,Object Identification Information,"",string,n,n,y,vocabulary,languages,"",collectionobject,objectNameLanguage
core_9-0-0,Object,Object name note,Object Identification Information,"",string,n,n,y,"","","",collectionobject,objectNameNote
core_9-0-0,Object,Object count value,Object Identification Information,"",integer,n,n,y,"","","",collectionobject,objectCount
core_9-0-0,Object,Object count type,Object Identification Information,"",string,n,n,y,vocabulary,objectcounttypes,"",collectionobject,objectCountType
core_9-0-0,Object,Object count counted by,Object Identification Information,"",string,n,n,y,authority,person/local; person/ulan,"",collectionobject,objectCountCountedBy
core_9-0-0,Object,Object count date,Object Identification Information,"",date,n,n,y,"","","",collectionobject,objectCountDate
core_9-0-0,Object,Object count note,Object Identification Information,"",string,n,n,y,"","","",collectionobject,objectCountNote
core_9-0-0,Object,Copy number,Object Description Information,"",string,n,n,n/a,"","","",collectionobject,copyNumber
core_9-0-0,Object,Object status,Object Description Information,"",string,n,y,n,option list,objectStatuses,"copy, forgery, holotype, paralectotype, paratype, type",collectionobject,objectStatus
core_9-0-0,Object,Sex,Object Description Information,"",string,n,n,n/a,option list,sexes,"female, male",collectionobject,sex
core_9-0-0,Object,Phase,Object Description Information,"",string,n,n,n/a,option list,phases,"adult, imago, larva, nymph, pupa",collectionobject,phase
core_9-0-0,Object,Form,Object Description Information,"",string,n,y,n,option list,forms,"dry, pinned, thin-section, wet",collectionobject,form
core_9-0-0,Object,Edition number,Object Description Information,"",string,n,n,n/a,"","","",collectionobject,editionNumber
core_9-0-0,Object,Age qualifier,Object Description Information,Age,string,n,n,n/a,vocabulary,agequalifier,"",collectionobject,ageQualifier
core_9-0-0,Object,Age value,Object Description Information,Age,integer,n,n,n/a,"","","",collectionobject,age
core_9-0-0,Object,Age unit,Object Description Information,Age,string,n,n,n/a,option list,ageUnits,"days, months, weeks, years",collectionobject,ageUnit
core_9-0-0,Object,Style,Object Description Information,"",string,n,y,n,"","","",collectionobject,style
core_9-0-0,Object,Color,Object Description Information,"",string,n,y,n,"","","",collectionobject,color
core_9-0-0,Object,Apparel size,Object Description Information,"",string,n,y,n,vocabulary,apparelsizes,"",collectionobject,apparelSize
core_9-0-0,Object,Material controlled,Object Description Information,"",string,n,n,y,authority,concept/material,"",collectionobject,materialControlled
core_9-0-0,Object,Material,Object Description Information,"",string,n,n,y,"","","",collectionobject,material
core_9-0-0,Object,Material component,Object Description Information,"",string,n,n,y,"","","",collectionobject,materialComponent
core_9-0-0,Object,Material component note,Object Description Information,"",string,n,n,y,"","","",collectionobject,materialComponentNote
core_9-0-0,Object,Material name,Object Description Information,"",string,n,n,y,"","","",collectionobject,materialName
core_9-0-0,Object,Material source,Object Description Information,"",string,n,n,y,"","","",collectionobject,materialSource
core_9-0-0,Object,Physical description,Object Description Information,"",string,n,n,n/a,"","","",collectionobject,physicalDescription
