profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,repeats,group_repeats,data_source
fcart_5-0-3,iterationreport,Iteration Information,Iteration creator/supervisor,Iteration creator/supervisor name,iterationCreatorGroupList > iterationCreatorGroup,iterationCreator,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Space Information,"Space, as installed","Space, as installed approval entity",spaceGroupList > spaceGroup,approvalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Iteration Details,Exhibition,Exhibition approval entity,exhibitionGroupList > exhibitionGroup,exhibitionApprovalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Iteration Details,Installed equipment,Installed equipment approval entity,installedEquipmentGroupList > installedEquipmentGroup,installedEquipmentApprovalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Iteration Details,Technical setup,Technical setup approval entity,technicalSetupGroupList > technicalSetupGroup,technicalSetupApprovalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Iteration Details,Iteration-specific modification,Iteration-specific modification approval entity,iterationSpecificGroupList > iterationSpecificGroup,modificationApprovalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Iteration Details,Further installation detail,Further installation detail approval entity,installationGroupList > installationGroup,installationApprovalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,iterationreport,Iteration Details,Security,Security approval entity,securityGroupList > securityGroup,securityApprovalEntity,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,loanin,Loan In Information,Lender,Lender name,lenderGroupList > lenderGroup,lender,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,location,Storage Location Information,Term > Source,Term source name,locTermGroupList > locTermGroup,termSource,n,y,authority: citation/local; authority: citation/worldcat
fcart_5-0-3,media,Media Handling Information,"",Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,organization,Organization Information,Term > Source,Term source name,orgTermGroupList > orgTermGroup,termSource,n,y,authority: citation/local; authority: citation/worldcat
fcart_5-0-3,person,Person Information,Term > Source,Term source name,personTermGroupList > personTermGroup,termSource,n,y,authority: citation/local; authority: citation/worldcat
fcart_5-0-3,place,Place Information,Term > Source,Term source name,placeTermGroupList > placeTermGroup,termSource,n,y,authority: citation/local; authority: citation/worldcat
fcart_5-0-3,place,Place Information,Ownership,Owner,placeOwnerGroupList > placeOwnerGroup,owner,n,y,authority: person/local; authority: organization/local
fcart_5-0-3,place,Place Information,"",Address municipality,addrGroupList > addrGroup,addressMunicipality,n,y,authority: place/local; authority: place/tgn
fcart_5-0-3,place,Place Information,"",Address state/province,addrGroupList > addrGroup,addressStateOrProvince,n,y,authority: place/local; authority: place/tgn
fcart_5-0-3,place,Place Information,"",Address country,addrGroupList > addrGroup,addressCountry,n,y,authority: place/local; authority: place/tgn
fcart_5-0-3,place,Georeference Information,Georeference,Georeferenced by,placeGeoRefGroupList > placeGeoRefGroup,geoReferencedBy,n,y,authority: person/local; authority: organization/local
